user_id,item_id,score
3,1,1
1952,1,1
7,1,1
12,1,1
1962,1,1
1963,1,1
1965,1,1
20,1,1
1966,1,1
1967,1,1
1969,1,1
1972,1,1
22,1,1
1973,1,1
1976,1,1
25,1,1
1974,1,1
27,1,1
29,1,1
1979,1,1
1981,1,1
1983,1,1
1984,1,1
1987,1,1
1989,1,1
32,1,1
34,1,1
1990,1,1
36,1,1
1998,1,1
45,1,1
49,1,1
2010,1,1
2012,1,1
62,1,1
64,1,1
66,1,1
68,1,1
2030,1,1
2032,1,1
2035,1,1
2038,1,1
79,1,1
2040,1,1
80,1,1
2044,1,1
2046,1,1
2047,1,1
2049,1,1
93,1,1
91,1,1
95,1,1
97,1,1
2058,1,1
99,1,1
2060,1,1
2062,1,1
2063,1,1
2064,1,1
103,1,1
105,1,1
2065,1,1
2067,1,1
113,1,1
119,1,1
115,1,1
122,1,1
124,1,1
125,1,1
2079,1,1
2080,1,1
2084,1,1
127,1,1
2090,1,1
131,1,1
2092,1,1
134,1,1
2095,1,1
135,1,1
141,1,1
2098,1,1
143,1,1
144,1,1
145,1,1
146,1,1
2103,1,1
147,1,1
2108,1,1
2109,1,1
151,1,1
2112,1,1
152,1,1
2122,1,1
2123,1,1
157,1,1
159,1,1
158,1,1
2126,1,1
2131,1,1
162,1,1
165,1,1
166,1,1
2135,1,1
167,1,1
169,1,1
177,1,1
2141,1,1
178,1,1
181,1,1
187,1,1
2154,1,1
2153,1,1
190,1,1
191,1,1
2156,1,1
194,1,1
193,1,1
196,1,1
2159,1,1
2163,1,1
201,1,1
2164,1,1
204,1,1
2172,1,1
2174,1,1
209,1,1
2175,1,1
2178,1,1
213,1,1
2180,1,1
214,1,1
2183,1,1
2184,1,1
2185,1,1
2187,1,1
2189,1,1
223,1,1
2191,1,1
225,1,1
2192,1,1
233,1,1
2193,1,1
2194,1,1
234,1,1
2196,1,1
236,1,1
2200,1,1
241,1,1
238,1,1
242,1,1
245,1,1
2205,1,1
247,1,1
2213,1,1
253,1,1
2222,1,1
254,1,1
2221,1,1
2226,1,1
2227,1,1
261,1,1
264,1,1
2235,1,1
266,1,1
267,1,1
270,1,1
271,1,1
275,1,1
274,1,1
2240,1,1
2241,1,1
2252,1,1
2254,1,1
